Q024,Q025
Não,Não
Não,Não
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, três",Sim
Não,Não
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Não
"Sim, um",Sim
"Sim, três",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, quatro ou mais",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, dois",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
Não,Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Não
"Sim, um",Sim
Não,Não
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Sim
Não,Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, quatro ou mais",Sim
Não,Não
Não,Não
"Sim, um",Sim
"Sim, dois",Sim
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, três",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, três",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, quatro ou mais",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, dois",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, um",Sim
Não,Sim
Não,Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, um",Sim
Não,Não
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, quatro ou mais",Sim
"Sim, quatro ou mais",Sim
"Sim, um",Sim
Não,Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, dois",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
"Sim, um",Sim
Não,Não
"Sim, um",Sim
"Sim, um",Sim
