ANO,COR,FR,FA
2015,Parda,45.72,73070
2015,Preta,38.1,60891
2015,Branca,11.3,18060
2015,Não declarado,2.09,3343
2015,Amarela,2.01,3214
2015,Indígena,0.5,798
2016,Parda,45.33,79731
2016,Preta,38.64,67958
2016,Branca,10.78,18951
2016,Não declarado,2.61,4593
2016,Amarela,2.14,3760
2016,Indígena,0.5,874
2017,Parda,45.58,55184
2017,Preta,38.08,46105
2017,Branca,11.37,13761
2017,Não declarado,2.53,3066
2017,Amarela,2.04,2470
2017,Indígena,0.39,477
2018,Parda,45.26,42481
2018,Preta,36.71,34451
2018,Branca,12.71,11931
2018,Não declarado,2.9,2721
2018,Amarela,2.0,1881
2018,Indígena,0.41,387
2019,Parda,44.92,39778
2019,Preta,36.58,32396
2019,Branca,13.68,12116
2019,Não declarado,2.34,2069
2019,Amarela,2.01,1780
2019,Indígena,0.47,418
