TP_ESCOLA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_REDACAO,NU_NOTA_LC
Pública,468.7,529.4,560.0,477.6
Pública,434.9,407.2,560.0,491.6
Pública,528.4,392.4,460.0,464.5
Pública,458.1,515.1,700.0,529.9
Pública,485.7,534.8,580.0,562.8
Pública,591.2,543.7,920.0,567.7
Privada,459.2,423.9,440.0,450.0
Privada,763.7,638.0,940.0,673.4
Privada,614.2,559.4,500.0,591.2
Pública,441.7,348.7,640.0,479.1
Pública,382.7,511.7,420.0,394.0
Privada,678.0,545.6,940.0,579.1
Pública,428.8,469.7,400.0,532.5
Pública,519.2,408.0,240.0,335.1
Pública,619.4,502.1,680.0,550.6
Privada,646.4,582.4,920.0,604.1
Privada,666.3,595.5,800.0,625.5
Privada,461.6,549.3,500.0,565.2
Pública,600.5,458.6,600.0,592.3
Pública,521.0,583.3,640.0,605.2
Pública,493.3,503.3,480.0,493.6
Privada,602.9,406.4,520.0,486.3
Pública,382.6,383.4,400.0,468.8
Pública,469.5,470.4,480.0,534.3
Pública,498.4,485.5,560.0,511.1
Privada,507.4,364.7,440.0,454.1
Pública,435.2,404.3,340.0,449.9
Pública,422.1,451.0,560.0,518.7
Pública,511.4,519.2,580.0,525.8
Privada,694.5,569.7,860.0,627.2
Pública,473.4,466.7,780.0,559.4
Pública,403.3,413.1,560.0,523.2
Pública,542.0,425.0,900.0,568.1
Privada,435.8,391.4,620.0,404.5
Pública,525.2,442.6,500.0,490.5
Privada,690.7,581.8,780.0,619.7
Pública,542.6,470.1,620.0,539.9
Privada,560.4,578.2,860.0,550.9
Pública,469.6,531.4,560.0,499.7
Pública,600.3,528.1,660.0,596.9
Pública,580.7,569.5,640.0,455.2
Pública,542.6,509.9,660.0,558.5
Privada,548.8,433.4,560.0,501.7
Pública,392.9,350.5,420.0,494.0
Pública,442.7,395.3,640.0,483.7
Privada,513.2,413.5,760.0,471.8
Privada,452.6,535.2,740.0,477.5
Privada,469.5,453.8,500.0,496.3
Pública,510.4,442.6,660.0,551.6
Pública,596.0,491.8,760.0,542.9
Pública,460.8,459.4,0.0,415.9
Privada,518.7,465.2,700.0,581.6
Pública,473.1,504.9,720.0,523.1
Pública,465.3,400.2,460.0,478.9
Privada,612.0,597.9,880.0,610.9
Privada,851.0,611.9,980.0,636.2
Pública,714.7,577.0,780.0,593.4
Privada,904.1,709.8,820.0,672.1
Pública,468.5,407.8,600.0,501.9
Pública,546.9,521.6,600.0,519.7
Privada,398.0,536.2,940.0,552.7
Pública,507.6,418.9,0.0,440.4
Privada,593.5,504.1,660.0,571.7
Pública,493.8,440.2,580.0,522.2
Privada,444.2,361.3,420.0,406.6
Pública,495.3,432.4,680.0,551.1
Pública,526.2,417.3,520.0,567.4
Pública,682.1,588.0,720.0,537.3
Pública,450.5,438.0,540.0,507.3
Pública,579.8,418.9,720.0,535.2
Pública,592.1,468.0,620.0,540.7
Pública,484.4,363.5,420.0,430.1
Privada,676.5,537.7,620.0,579.9
Privada,681.3,562.6,640.0,582.1
Pública,642.7,575.4,640.0,509.1
Privada,411.4,499.0,800.0,486.4
Pública,384.8,384.5,0.0,438.0
Privada,458.3,445.2,680.0,466.2
Pública,562.3,533.2,820.0,596.3
Pública,544.1,457.5,580.0,567.5
Privada,573.7,532.1,620.0,567.0
Pública,401.7,447.4,480.0,486.7
Pública,440.9,407.6,580.0,467.1
Pública,416.9,415.5,680.0,547.0
Pública,478.1,483.0,500.0,569.4
Pública,463.6,417.3,540.0,535.9
Privada,745.6,635.6,920.0,612.3
Pública,523.0,553.1,760.0,528.6
Privada,751.9,606.5,840.0,643.3
Privada,583.8,582.8,860.0,570.6
Pública,526.7,417.5,500.0,471.9
Pública,462.7,461.0,440.0,484.6
Pública,497.9,389.6,740.0,481.3
Pública,469.7,486.4,720.0,502.6
Pública,491.8,502.1,520.0,566.0
Pública,470.3,432.8,860.0,522.3
Pública,421.3,363.6,620.0,526.1
Pública,521.8,411.4,600.0,511.8
Privada,833.9,709.3,780.0,657.8
Pública,385.8,460.5,560.0,498.7
Privada,519.3,519.8,620.0,510.6
Pública,533.0,436.7,480.0,519.4
Pública,553.9,529.4,440.0,419.0
Pública,653.7,556.9,320.0,530.9
Privada,678.8,613.5,860.0,582.6
Pública,580.7,505.3,640.0,592.2
Pública,448.0,345.1,480.0,525.0
Pública,368.5,469.2,700.0,476.9
Pública,609.0,431.8,680.0,515.6
Pública,568.4,398.0,560.0,529.5
Privada,579.4,581.9,920.0,597.4
Pública,468.5,403.5,760.0,553.8
Privada,790.1,622.2,940.0,636.2
Pública,482.2,394.7,680.0,521.8
Pública,507.0,476.6,500.0,541.7
